AllDownDesc, 'All available packages were already downloaded.';
AlreadyInstalFail, 'This package is already installed.';
ApplicationRestart, 'Application will be restarted';
Cancel, 'Cancel';
CantDownload, 'Cannot download packages';
CatDLC, 'Steam DLC';
CatEnv, 'Environment';
CatLoco, 'Locomotives';
CatOther, 'Other/Uncategorised';
CatRVDep, 'Railvehicle dependencies';
CatScenery, 'Scenery';
CatSystem, 'SYSTEM PACKAGE';
CatTrackObj, 'Track objects';
CatWag, 'Wagons';
ConflictFileDesc1, 'Following package seems to be controlled by DLS but not installed through this app:';
ConflictFileDesc2, 'Please decide how to continue!';
ConflictFileTitle, 'Conflict file found!';
CountryNon, 'Non specified';
CountSizeFail, 'Error while counting size of file {0}!';
CrawlingRouteFail, 'Error when crawling route "{0}"!';
CriticalError, 'Critical error!';
DepStateAvail, 'Available';
DepStateDown, 'Downloaded';
DepStatePaid, 'Paid';
DepStateUnav, 'Unavailable';
DepStateUnk, 'Unknown';
DepWindowTitle1, 'Route dependencies';
DepWindowTitle2, 'Scenario dependencies';
DownloadError, 'Error occured while downloading';
DownloadingUpdate, 'Downloading update of application...';
DownloadTitle, 'Downloading packages {0}/{1}';
Era1, 'I.';
Era2, 'II.';
Era3, 'III.';
Era4, 'IV.';
Era5, 'V.';
Era6, 'VI.';
EraNon, 'Indeterminate';
FailedCopyFiles, 'Failed to copy following files!';
FindFileFail, 'FindFile for {0} returned no packages!';
GzipEntryFail, 'Error when reading gzip entry of file {0}!';
GzipFileFail, 'Gzip file {0} is corrupted!';
GzipReadFail, 'Error while reading gzip file {0}!';
CheckingDLC, 'Checking installed DLCs';
InstalFail, 'An error occured when trying to install package.';
Installing, 'Installing...';
InstallingUpdate, 'Installing update...';
InvalidFileName, '#INVALID FILE NAME';
KeepAll, 'Keep all!';
KeepLocal, 'Keep local!';
LoginDesc, 'Please login with your Railworks Download Station account.';
LoginEmailHint, 'E-mail address...';
LoginForgot, 'Forgot password';
LoginCheckbox, 'Stay logged in';
LoginMissingField, 'You haven't filled all required fields.';
LoginPasswordHint, 'Password...';
LoginPrimary, 'Cancel';
LoginSecondary, 'Login';
LoginTitle, 'Login';
MainDown, 'Download packages';
MainManage, 'Manage packages';
MainRescan, 'Rescan assets...';
MainScan, 'Scan for missing assets';
MainSelectFolder, 'Select Railworks folder location';
NewerDesc, '"Newer version of following package was found on server:
{0}
Do you want to update it?"';
NewerPrimary, 'Yes, update';
NewerSecond, 'No, keep local';
NewerTitle, 'Newer package found!';
No, 'No';
NonCached, 'Attempted to download non cached package!';
Ok, 'OK';
OperationsRunning, '"Some operations are still running.
Do you really want to close the app?"';
OverAll, 'Overwrite all!';
OverLocal, 'Overwrite local!';
PackManInstall, 'Install package';
PackManRemove, 'Remove selected package';
PackManTitle, 'Package manager';
PaidPackageFail, 'This is paid package. Paid packages cannot be downloaded through this app.';
ParseRoutePropFail, '"An unexpected error occured during parsing following file:
{0}
Usually it means the file is corrupted. Please report this error message including the corrupted file."';
ParseRoutePropFailTitle, 'Error parsing RouteProperties';
PrepareTitle, 'Preparing download!';
ProgressFail, '"Fatal! Progress is bigger than size of all files! {0}:{1}
Route: {1}"';
ReadingZipFail, 'Error reading zip file {0}!';
RoutesLoadFail, 'Loading routes failed!';
Save, 'Save';
Saving, 'Saving';
SelectRWDlgAuto, 'Try finding Railworks location automatically';
SelectRWDlgBrowse, 'Browse';
SelectRWDlgDesc, 'Please select your RailWorks (Train Simulator) installation folder.';
SelectRWDlgTitle, 'Select RailWorks folder';
SelectRWPathTitle, 'Select RailWorks installation path';
SerzCommonFail, 'Error when parsing bin file {0}!';
SerzFlushNStringFail, 'Attempted to flush unreaded string id {0}, step {1} in file {2}!';
SerzNLoadStringFail, 'Adding non loaded string id {0} at position {1}, step {2} in file {3}!';
SerzParseExTagFail, 'Unable to parse existing tag on position {0}, step {1} in file {2}!';
SerzUnkFormatFail, 'Unknown format {0} in mattrice on position {1}, step {2} in file {3}!';
SerzUnkTagFormFail, 'Unknown tag format {0} at position {1}, step {2}, file {3}!';
SerzUnkTypeFail, 'Unknown data type {0} at position {1}, step {2} in file {3}!';
SteamInitFail, 'Initialision of SteamManager failed!';
UnknownError, 'Unknown error';
UpdaterAdminDesc, 'You need to allow administrator privileges to update Railworks Download Station.';
UpdaterAdminTitle, 'UAC Required';
UpdaterPanic, 'Updater panic!';
UpdateTitle, 'Updating packages {0}/{1}';
Warning, 'Warning';
Yes, 'Yes';
